userName,content,score,label,at
Pengguna Google,"ada bug pas update, login gak bisa katanya jaringan eror, padahal login game lain kaya blood strike, ml dll sampai nonton yt juga lancar.",1,negatif,2025-05-22 22:57:27
Pengguna Google,LEGEND PETIR KETEMU RANDOM MASIH BANYAK TOLOLNYA ANJIR,2,negatif,2025-05-20 23:51:29
Pengguna Google,👍,5,positif,2025-05-17 21:03:18
Pengguna Google,game busuk match tidak seimbang sama sekali masa dapet musuh jago tim nya bot kan aneh,1,negatif,2025-05-09 14:53:58
Pengguna Google,oke.terima kasih.gamenya Uda bagus.karna saya Uda lama mainkanya.🦾🦾💪.,5,positif,2025-05-07 01:14:33
Pengguna Google,game bagus,5,positif,2025-05-02 20:16:50
Pengguna Google,"saran kedepannya pihak codm lebih adil lgi dalam memberi kami anggota tim,saya dan mungkin jg org lain merasakan yg namanya gendobg tim,krn isi timnya hanya satu yg jago selebihnya beban tim,dan ini mempengaruhi rank kami,kami mati""an berjuang sedangkan yg lain tidak seperti tujuan kami dan hanya menjadi beban,overall sukses buat codm dri S1 sampe skrng ttp setia sm codm",4,positif,2025-05-02 17:59:04
Pengguna Google,bagus gamenya. apalagi maen ama temen. beuh yang ada kalah berturut turut. tapi intinya ini tolong ban semua cheater. kemarin saya lagi maen br di tembak one hit pake groza ama player yang terbang. padahal dia rolenya scout pake k9 unit,4,positif,2025-05-02 15:57:55
Pengguna Google,sering melekkkk.. tolong di perbaiki LG game ini... sy kasih 5 bintang agar d perbagus lagi..trima kasih,5,positif,2025-05-02 15:46:05
Pengguna Google,"hallo admin yang baik, mohon untuk di adakan nya sistem ban map karna ada beberapa map yang isinya player sampah yang fomo atau ikut² an terus mainnya juga gak ada yg bagus seperti feeder sekian min.",3,netral,2025-05-02 15:42:58
Pengguna Google,"Gimana mau ngerasain serunya wong baru login udh download, abis itu loading abis itu download lagi abis itu di in game klo mau ranked harus download. belum klo ada update-an harus ulangi download dari awal. gimana si? bandingin sama delta force & PUBG yg baru login udh langsung main gausah mikirin download download",1,negatif,2025-05-02 14:37:51
Pengguna Google,"berat sebelah, timku bot, tim musuh pro player",2,negatif,2025-05-02 14:32:24
Pengguna Google,banyak bug pada mode br,1,negatif,2025-05-02 14:24:20
Pengguna Google,"Gw mulai bosen dan frustasi, Tiap kali mau main dikasih org org yang jago dan gak punya kehidupan, Sini yang cuma main biasa biasa aja gak bisa, SBMM nya juga gak kerja cuma ngasih yang jago terus terus an, Timnya juga dikasih yang buruk, Gw gak skill issue lo ini, Saya punya skill tersendiri, tapi masih kalah gara gara tim saya, Gak worth it kalo buat saya",1,negatif,2025-05-02 13:04:09
Pengguna Google,"tolong di optimalisasi lagi dong , kadang suka frame drop",3,netral,2025-05-02 11:41:42
Pengguna Google,"perang kok kek jadi belut, gim apa ini 😂",1,negatif,2025-05-02 10:43:46
Pengguna Google,"apalah server sebelah di kasih krm legen di server gua kagak, tapi bisa ketemu server sebelah, kagak adil",1,negatif,2025-05-02 10:43:28
Pengguna Google,tolong jadikan ke 30 besar maka saya akan comeback,5,positif,2025-05-02 10:39:24
Pengguna Google,"Game seru, btw hoki in spin drawku dong dev, pengen dapet character Meliodas/Elisabeth🙏☺",5,positif,2025-05-02 10:38:49
Pengguna Google,gem nya seru,5,positif,2025-05-02 08:19:28
Pengguna Google,kikir gacha ga pernah hoki,2,negatif,2025-05-02 07:55:08
Pengguna Google,permainan jelek nyesal saya dowload ny,1,negatif,2025-05-02 01:13:52
Pengguna Google,bagus,5,positif,2025-05-02 01:03:26
Pengguna Google,aku suka,4,positif,2025-05-02 00:49:10
Pengguna Google,sy. suka. ini. gm,5,positif,2025-05-01 23:02:52
Pengguna Google,ga ramah buat hp ram 4 dan mohon diperkecil lagi size game nya,5,positif,2025-05-01 21:40:12
Pengguna Google,game nya mantap tapi kurangnya musuh GG abis tim nya gabisa Main beh sakitnya di gituin trus ram 4 gabisa grafis high,4,positif,2025-05-01 21:36:44
